Color,Crash,Day,Hour,Minute,Second
1,2.33,30,22,22,28
0,1.21,30,22,22,3
1,3.16,30,22,21,48
0,1.58,30,22,21,18
0,1.17,30,22,21,3
1,7.15,30,22,20,48
1,3.12,30,22,20,8
0,1.88,30,22,19,38
0,1.99,30,22,19,18
1,19.2,30,22,18,58
1,2.99,30,22,17,58
1,2.12,30,22,17,28
0,1.0,30,22,17,8
0,1.07,30,22,16,57
0,1.47,30,22,16,42
0,1.0,30,22,16,27
1,4.32,30,22,16,17
1,15.3,30,22,15,42
0,1.49,30,22,14,47
0,1.91,30,22,14,32
0,1.53,30,22,14,12
1,3.16,30,22,13,52
1,3.7,30,22,13,22
0,1.94,30,22,12,52
0,1.0,30,22,12,32
1,4.53,30,22,12,22
0,1.51,30,22,11,47
0,1.9,30,22,11,27
0,1.38,30,22,11,7
1,2.95,30,22,10,52
0,1.02,30,22,10,22
1,340.0,30,22,10,12
0,1.0,30,22,8,32
1,2.12,30,22,8,17
0,1.34,30,22,7,52
0,1.79,30,22,7,37
0,1.25,30,22,7,17
0,1.86,30,22,7,2
1,3.56,30,22,6,42
0,1.14,30,22,6,12
1,3.01,30,22,6,2
0,1.98,30,22,5,27
0,1.02,30,22,5,7
0,1.76,30,22,4,57
0,1.15,30,22,4,37
1,5.06,30,22,4,22
0,1.25,30,22,3,47
0,1.07,30,22,3,32
1,3.95,30,22,3,22
1,10.5,30,22,2,52
0,1.44,30,22,2,2
1,4.25,30,22,1,42
0,1.32,30,22,1,12
1,2.29,30,22,0,57
0,1.0,30,22,0,32
1,3.91,30,22,0,22
0,1.04,30,21,59,47
0,1.89,30,21,59,37
1,10.1,30,21,59,18
0,1.18,30,21,58,27
0,1.08,30,21,58,17
0,1.64,30,21,58,7
0,1.81,30,21,57,47
1,13.1,30,21,57,27
1,2.13,30,21,56,32
0,1.0,30,21,56,11
1,6.96,30,21,56,1
0,1.16,30,21,55,16
1,15.1,30,21,55,6
1,2.19,30,21,54,11
0,1.12,30,21,53,46
1,5.34,30,21,53,36
1,323.0,30,21,52,56
1,2.28,30,21,51,6
1,2.61,30,21,50,46
0,1.29,30,21,50,21
1,26.1,30,21,50,6
0,1.48,30,21,49,1
0,1.47,30,21,48,41
0,1.04,30,21,48,26
0,1.06,30,21,48,16
0,1.34,30,21,48,6
0,1.12,30,21,47,51
1,2.14,30,21,47,41
0,1.0,30,21,47,16
1,5.71,30,21,47,6
1,6.81,30,21,46,26
0,1.29,30,21,45,46
0,1.1,30,21,45,31
0,1.16,30,21,45,21
1,8.44,30,21,45,6
1,3.47,30,21,44,21
1,4.0,30,21,43,51
0,1.26,30,21,43,16
1,2.96,30,21,43,1
1,4.5,30,21,42,36
0,1.54,30,21,42,1
1,2.08,30,21,41,41
1,2.05,30,21,41,21
1,2.89,30,21,41,1
1,3.59,30,21,40,30
0,1.75,30,21,40,0
0,1.18,30,21,39,40
1,47.4,30,21,39,25
0,1.05,30,21,38,15
